id_municipio,sigla_uf,ano,populacao
1100015,RO,2017,25437
1100015,RO,2019,22945
1100023,RO,2017,107345
1100023,RO,2019,107863
1100031,RO,2017,6224
1100031,RO,2019,5312
1100049,RO,2017,88507
1100049,RO,2019,85359
1100056,RO,2017,17934
1100056,RO,2019,16323
1100064,RO,2017,18467
1100064,RO,2019,15882
1100072,RO,2017,8659
1100072,RO,2019,7391
1100080,RO,2017,17400
1100080,RO,2019,18331
1100098,RO,2017,33030
1100098,RO,2019,32374
1100106,RO,2017,47451
1100106,RO,2019,46174
1100114,RO,2017,55871
1100114,RO,2019,51775
1100122,RO,2017,132667
1100122,RO,2019,128969
1100130,RO,2017,38609
1100130,RO,2019,39991
1100148,RO,2017,21747
1100148,RO,2019,20474
1100155,RO,2017,39759
1100155,RO,2019,36035
1100189,RO,2017,38051
1100189,RO,2019,36660
1100205,RO,2017,519436
1100205,RO,2019,529544
1100254,RO,2017,22124
1100254,RO,2019,18986
1100262,RO,2017,3829
1100262,RO,2019,3764
1100288,RO,2017,57074
1100288,RO,2019,55058
1100296,RO,2017,8198
1100296,RO,2019,6495
1100304,RO,2017,95630
1100304,RO,2019,99854
1100320,RO,2017,24181
1100320,RO,2019,23005
1100338,RO,2017,28891
1100338,RO,2019,30583
1100346,RO,2017,16747
1100346,RO,2019,14411
1100379,RO,2017,14045
1100379,RO,2019,13241
1100403,RO,2017,20916
1100403,RO,2019,21428
1100452,RO,2017,39044
1100452,RO,2019,39654
1100502,RO,2017,10051
1100502,RO,2019,8538
1100601,RO,2017,6460
1100601,RO,2019,6230
1100700,RO,2017,14484
1100700,RO,2019,14139
1100809,RO,2017,25266
1100809,RO,2019,26693
1100908,RO,2017,3550
1100908,RO,2019,3052
1100924,RO,2017,10593
1100924,RO,2019,11182
1100940,RO,2017,22443
1100940,RO,2019,25215
1101005,RO,2017,9745
1101005,RO,2019,7767
1101104,RO,2017,10310
1101104,RO,2019,10458
1101203,RO,2017,10751
1101203,RO,2019,9660
1101302,RO,2017,12258
1101302,RO,2019,10947
1101401,RO,2017,16186
1101401,RO,2019,15852
1101435,RO,2017,7769
1101435,RO,2019,6970
1101450,RO,2017,5904
1101450,RO,2019,6074
1101468,RO,2017,2410
1101468,RO,2019,2169
1101476,RO,2017,3411
1101476,RO,2019,2856
1101484,RO,2017,5994
1101484,RO,2019,5172
1101492,RO,2017,19694
1101492,RO,2019,20266
1101500,RO,2017,12653
1101500,RO,2019,11856
1101559,RO,2017,4931
1101559,RO,2019,4308
1101609,RO,2017,11350
1101609,RO,2019,10444
1101708,RO,2017,13106
1101708,RO,2019,11467
1101757,RO,2017,11149
1101757,RO,2019,11204
1101807,RO,2017,8047
1101807,RO,2019,6825
1200013,AC,2017,14366
1200013,AC,2019,15256
1200054,AC,2017,6986
1200054,AC,2019,7417
1200104,AC,2017,24765
1200104,AC,2019,26278
1200138,AC,2017,9664
1200138,AC,2019,10266
1200179,AC,2017,11136
1200179,AC,2019,11733
1200203,AC,2017,82622
1200203,AC,2019,88376
1200252,AC,2017,17340
1200252,AC,2019,18411
1200302,AC,2017,32360
1200302,AC,2019,34780
1200328,AC,2017,7858
1200328,AC,2019,8317
1200336,AC,2017,17910
1200336,AC,2019,18977
1200344,AC,2017,8886
1200344,AC,2019,9459
1200351,AC,2017,17897
1200351,AC,2019,18867
1200385,AC,2017,18510
1200385,AC,2019,19761
1200393,AC,2017,11353
1200393,AC,2019,11982
1200401,AC,2017,383443
1200401,AC,2019,407319
1200427,AC,2017,17945
1200427,AC,2019,18930
1200435,AC,2017,6230
1200435,AC,2019,6540
1200450,AC,2017,21552
1200450,AC,2019,23024
1200500,AC,2017,43139
1200500,AC,2019,45848
1200609,AC,2017,40024
1200609,AC,2019,42567
1200708,AC,2017,18174
1200708,AC,2019,19323
1200807,AC,2017,17459
1200807,AC,2019,18504
1300029,AM,2017,15908
1300029,AM,2019,16041
1300060,AM,2017,11242
1300060,AM,2019,11536
1300086,AM,2017,12978
1300086,AM,2019,13614
1300102,AM,2017,20196
1300102,AM,2019,21010
1300144,AM,2017,21406
1300144,AM,2019,21973
1300201,AM,2017,19054
1300201,AM,2019,19921
1300300,AM,2017,38454
1300300,AM,2019,39565
1300409,AM,2017,27743
1300409,AM,2019,27502
1300508,AM,2017,31542
1300508,AM,2019,32041
1300607,AM,2017,41329
1300607,AM,2019,42984
1300631,AM,2017,18978
1300631,AM,2019,19679
1300680,AM,2017,18483
1300680,AM,2019,19207
1300706,AM,2017,34176
1300706,AM,2019,34308
1300805,AM,2017,40464
1300805,AM,2019,41161
1300839,AM,2017,12820
1300839,AM,2019,13081
1300904,AM,2017,15490
1300904,AM,2019,15629
1301001,AM,2017,28337
1301001,AM,2019,28294
1301100,AM,2017,37399
1301100,AM,2019,37869
1301159,AM,2017,29190
1301159,AM,2019,30225
1301209,AM,2017,84762
1301209,AM,2019,85097
1301308,AM,2017,27817
1301308,AM,2019,28637
1301407,AM,2017,34888
