index,year,population,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,rank_vrs,pct_var_vrs,pct_var_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,is_complete_grouped
count,2017,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,0.0,0.0,2891.0,2891.0,2891.0,2891.0,
mean,2017,53243.96368038741,1654488593.56624,37405339.10549983,4290.82359045313,5.273158076790038,4.203355240401245,1.1087858872362504,3.7852992044275333,20548.698671739883,8424.278156347284,7.194105845728122,0.4665950384967057,0.46659514570935345,0.5552770904421485,0.9892460736074911,0.4672096341384973,0.5546626020130063,0.8185698777991571,1446.0,,,0.004908743656093855,-0.05753848388677146,0.5552770904421486,0.8185698777991569,
std,2017,291258.4370703649,15182045859.456375,216659609.95098466,14097.728279289859,1.0110765557793735,0.8600268472046906,1.412536166479963,3.7004425628984956,23093.898434441795,3773.0907016363885,4.7516084460716,0.2108591191071188,0.21085917459489098,0.19296004414105375,0.013894448712290305,0.2111779618813072,0.19289196167285153,0.18007515128702878,834.7041392014298,,,0.19296004414105378,0.18007515128702878,0.1236306227796612,0.12815651744812045,
min,2017,1533.0,12993000.0,293.0,129.0,2.8,1.8,0.0,0.0,3289.52,0.17,0.0,0.026731457710397803,0.026731457710394035,0.04761596787444974,0.8799999999999971,0.02673145771039791,0.04761596787444977,0.09904191548592609,1.0,,,-0.5027523789116048,-0.7770664462000024,0.2327127472566993,0.5354019786789559,
25%,2017,8687.5,95049500.0,7617934.5,964.5,4.5,3.5,0.1,0.9,8195.925,5950.63,3.0,0.2847728826320015,0.28477288263199974,0.41054533838747953,0.9839999999999991,0.2849322854984575,0.40985064394230764,0.6937010303718311,723.5,,,-0.13982300839857506,-0.18240733131409748,0.4636158663676521,0.6717687909244753,
50%,2017,17983.0,225945000.0,14891601.0,2018.0,5.2,4.1,0.6,2.7,12532.69,7222.62,6.24,0.4663658160662451,0.4663658160662455,0.5503683467860546,0.9949999999999943,0.4667615087108241,0.548467662863782,0.8761083616859285,1446.0,,,0.0,0.0,0.5340339632549884,0.8878450486748218,
75%,2017,35817.0,685949500.0,29111362.5,4017.0,6.1,4.8,1.7,5.7,25417.045,9842.11,10.605,0.6315574843968146,0.6315574843968148,0.6965120250799592,1.0,0.6327060924320675,0.6959571743683898,0.9808490204243951,2168.5,,,0.14614367829390457,0.10474065873846655,0.6514456149434942,0.9313814797087512,
max,2017,12106920.0,698952189000.0,10233696749.0,479898.0,9.1,7.2,12.0,27.3,346739.34,56217.01,24.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2891.0,,,0.4496316532139454,0.12389163831407146,0.7809535445944192,0.9545472888326227,
year,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
population,2017,1.0,0.9682492847513682,0.9703307997103539,0.922305189681554,0.04502087947084295,0.034643354537593006,-0.01826014438423245,-0.046102342766169264,0.08334283847616196,0.1152180768663099,-0.1358408313667813,-0.1254186176138113,-0.1254186681382243,-0.1324061735623147,0.016114010783481552,-0.12550098187398276,-0.13215551415530552,-0.05936545304852718,0.130625213643392,,,-0.1324061735623147,-0.05936545304852703,-0.04866598801948027,-0.0693772032105242,
gdp,2017,0.9682492847513682,1.0,0.9911300724733993,0.870415844578388,0.0546758344758577,0.04325135469621946,-0.031078992457678298,-0.048614474339170634,0.12942373464545717,0.14305353823746406,-0.11320723200470706,-0.12465600495804567,-0.12465602596142077,-0.12774288904028439,0.029654482359436574,-0.12473165744997441,-0.12749915981347687,-0.07782802512543496,0.1217011681029275,,,-0.12774288904028425,-0.0778280251254348,-0.0628664802414964,-0.08639311166423103,
education_spending,2017,0.9703307997103539,0.9911300724733993,1.0,0.863151876809343,0.047507633978128225,0.03794415255761635,-0.022281268353838854,-0.04369124618709336,0.10730495507856522,0.1306780316131133,-0.10863152306026105,-0.11816899938187404,-0.11816904181366744,-0.12460408092363287,0.02002160748028482,-0.11820552563751534,-0.12441282352731212,-0.0636522633002658,0.11937602864739799,,,-0.12460408092363272,-0.06365226330026566,-0.04838490704247651,-0.07531871461565251,
enrollments,2017,0.922305189681554,0.870415844578388,0.863151876809343,1.0,0.015449155883219701,0.0166082265690562,0.011105012607182791,-0.02235756649410107,0.08739480173175568,0.023663014710139093,-0.12680783193699277,-0.11468087794455134,-0.11468096880487813,-0.1175999216777516,-0.014426645159233215,-0.11462752994311771,-0.11751040404386737,-0.06533692202257746,0.11804729947647816,,,-0.11759992167775156,-0.06533692202257735,-0.013915906025016276,-0.030590428012358922,
ideb_initial_years,2017,0.04502087947084295,0.0546758344758577,0.047507633978128225,0.015449155883219701,1.0,0.8405863674719031,-0.6518771771725582,-0.6337398371615364,0.3414709991674069,0.4514603897383861,-0.4605480208687422,-0.3251255849863962,-0.32512598898614825,-0.07892773723363909,0.6521022712803868,-0.3282670929185247,-0.0749793904155422,-0.5851117735375306,0.1088311932654255,,,-0.07892773723363866,-0.5851117735375307,-0.29917810559406516,-0.6423809307341152,
ideb_final_years,2017,0.034643354537593006,0.04325135469621946,0.03794415255761635,0.0166082265690562,0.8405863674719031,1.0,-0.5930782782026112,-0.6899471732215777,0.3123086054172711,0.4196898027455421,-0.40623524169284664,-0.3012778325973302,-0.30127793272441766,-0.030780614778091773,0.5995591707314848,-0.3042575411795702,-0.027031492269835897,-0.6038592545051921,0.05940847241689533,,,-0.03078061477809154,-0.6038592545051921,-0.27211845550632413,-0.6148571899559373,
dropout_rates_initial_years,2017,-0.01826014438423245,-0.031078992457678298,-0.022281268353838854,0.011105012607182791,-0.6518771771725582,-0.5930782782026112,1.0,0.7293633423529691,-0.24922085651701278,-0.3468652012047319,0.31425543137523015,0.23144077752640474,0.23144060543361739,-0.0007449357260253268,-0.9873656428449659,0.2392529358208606,-0.00968062715354978,0.5442459941574387,-0.01818257919549365,,,-0.0007449357260255179,0.5442459941574388,0.22053293168528948,0.5372110716210011,
dropout_rates_final_years,2017,-0.046102342766169264,-0.048614474339170634,-0.04369124618709336,-0.02235756649410107,-0.6337398371615364,-0.6899471732215777,0.7293633423529691,1.0,-0.2829131075950996,-0.3819531010874277,0.3473334509563342,0.2894169619066292,0.2894173688478741,0.033188425902515736,-0.7482294680834999,0.2951894242787389,0.026402586212224962,0.600711098398409,-0.05426292511648881,,,0.03318842590251537,0.6007110983984084,0.2627123037170652,0.5809298440534485,
gdp_per_capita,2017,0.08334283847616196,0.12942373464545717,0.10730495507856522,0.08739480173175568,0.3414709991674069,0.3123086054172711,-0.24922085651701278,-0.2829131075950996,1.0,0.5558817153923574,-0.5413681010868843,-0.6698282107048067,-0.6698282899856907,-0.5561615117126314,0.24712975162400255,-0.6702696423559219,-0.5547676133553634,-0.6732047032364401,0.5346003965194331,,,-0.5561615117126308,-0.67320470323644,-0.41607268001958186,-0.46882451488103205,
