city_id,state,year,population,city_name,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,is_complete_grouped,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,DEA_returns_nature,rank_vrs,pct_var_vrs,pct_var_scale,category_vrs,category_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,peer_group
1503309,PA,2017,60994,Igarapé-Miri,376753000,8431753,13740,3.8,3.5,3.0,6.8,6176.89,613.66,2.24,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,1,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.5276725186308756,0.9099204560818149,Mega
2110237,MA,2017,13395,Santana do Maranhão,58103000,8450076,1723,4.3,3.3,0.9,3.0,4337.66,4904.28,14.54,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,2,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.7365375875316906,0.9225552417346308,Large
2300507,CE,2017,11459,Alcântaras,69284000,9443200,1567,7.3,4.9,0.0,2.0,6046.25,6026.29,13.63,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,3,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.7809535445944192,0.8674044749881739,Medium
2304269,CE,2017,9521,Deputado Irapuan Pinheiro,66828000,7830668,1137,8.6,5.1,0.0,0.0,7019.01,6887.13,11.72,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,4,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.7809535445944192,0.8674044749881739,Medium
2308203,CE,2017,14948,Meruoca,96490000,13404596,2107,7.9,5.8,0.0,0.6,6455.04,6361.93,13.89,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,5,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.7809535445944192,0.8674044749881739,Large
2310951,CE,2017,10784,Pires Ferreira,57106000,10397444,1371,7.5,6.1,0.0,1.2,5295.44,7583.84,18.21,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,6,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.7809535445944192,0.8674044749881739,Medium
2708501,AL,2017,34961,São Luís do Quitunde,416398000,526205,5333,4.6,3.7,1.4,9.3,11910.36,98.67,0.13,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,7,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.5964684976240416,0.9053265740831365,Mega
2923050,BA,2017,16037,Novo Triunfo,52754000,10104631,1676,4.0,3.0,1.4,15.5,3289.52,6029.02,19.15,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,8,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.6097700253759094,0.9545472888326227,Large
2926657,BA,2017,7437,Ribeirão do Largo,78289000,293,1721,3.8,2.9,3.1,8.5,10526.96,0.17,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Constant,9,,,Efficient,Efficient,0.4496316532139454,0.12389163831407146,0.6097700253759094,0.9545472888326227,Medium
2304707,CE,2017,54365,Granja,367695000,48329409,8308,7.7,5.1,0.1,1.9,6763.45,5817.21,13.14,True,0.9985231542925636,0.9985231542925631,1.0,1.0,0.9985231542925641,1.0,0.9985231542925636,Decreasing,10,,,Efficient,Efficient,0.4496316532139454,0.12241479260663501,0.7809535445944192,0.8674044749881739,Mega
2309409,CE,2017,28353,Novo Oriente,212351000,20086428,3739,7.6,5.6,0.1,0.2,7489.54,5372.14,9.46,True,0.9753432939804427,0.9753432939804613,1.0,1.0,0.9753432939800756,1.0,0.9753432939804427,Decreasing,11,,,Efficient,Efficient,0.4496316532139454,0.09923493229451419,0.7809535445944192,0.8674044749881739,Mega
2302057,CE,2017,14880,Barroquinha,102556000,13109605,2491,7.2,5.3,0.2,1.1,6892.2,5262.79,12.78,True,0.9744354990681177,0.974435499068122,1.0,1.0,0.974435499068118,1.0,0.9744354990681177,Decreasing,12,,,Efficient,Efficient,0.4496316532139454,0.09832713738218912,0.7809535445944192,0.8674044749881739,Large
2312809,CE,2017,7513,Senador Sá,49705000,6145363,1149,6.9,5.0,0.0,0.9,6615.87,5348.44,12.36,True,0.9552037327108187,0.9552037327108135,1.0,1.0,0.9552037327108188,1.0,0.9552037327108187,Decreasing,13,,,Efficient,Efficient,0.4496316532139454,0.07909537102489017,0.7809535445944192,0.8674044749881739,Medium
2308906,CE,2017,22222,Morrinhos,147899000,18681043,3127,6.4,5.8,0.0,0.8,6655.52,5974.11,12.63,True,0.9501346929907382,0.9501346929907117,1.0,1.0,0.9501346929907377,1.0,0.9501346929907382,Decreasing,14,,,Efficient,Efficient,0.4496316532139454,0.07402633130480962,0.7809535445944192,0.8674044749881739,Large
2111722,MA,2017,13949,Satubinha,66342000,9870916,1754,4.7,3.7,0.0,1.3,4756.04,5627.66,14.88,True,0.9491632274398987,0.9491632274398958,1.0,1.0,0.9491632274398994,1.0,0.9491632274398987,Decreasing,15,,,Efficient,Efficient,0.4496316532139454,0.07305486575397013,0.7365375875316906,0.9225552417346308,Large
2601300,PE,2017,14224,Barra de Guabiraba,101790000,7615119,1809,6.4,4.2,0.4,8.2,7156.21,4209.57,7.48,True,0.938042766504069,0.9380427665040535,1.0,1.0,0.9380427665040691,1.0,0.938042766504069,Decreasing,16,,,Efficient,Efficient,0.4496316532139454,0.0619344048181405,0.6514456149434942,0.8878450486748218,Large
2112704,MA,2017,56511,Vargem Grande,307783000,43569835,8904,4.3,4.0,0.7,1.0,5446.43,4893.29,14.16,True,0.9324436375065308,0.9324436375065317,1.0,1.0,0.9324436375065317,1.0,0.9324436375065308,Decreasing,17,,,Efficient,Efficient,0.4496316532139454,0.05633527582060227,0.7365375875316906,0.9225552417346308,Mega
2100477,MA,2017,31312,Alto Alegre do Pindaré,181816000,31608153,5858,5.5,4.7,0.1,0.7,5806.59,5395.72,17.38,True,0.9305135691296855,0.9305135691296481,1.0,1.0,0.9305135691296855,1.0,0.9305135691296855,Decreasing,18,,,Efficient,Efficient,0.4496316532139454,0.05440520744375699,0.7365375875316906,0.9225552417346308,Mega
2110500,MA,2017,46039,São Bento,257121000,26851103,5590,4.9,3.6,0.0,1.7,5584.85,4803.42,10.44,True,0.9152032311352223,0.915203231135226,1.0,1.0,0.9152032311352218,1.0,0.9152032311352223,Decreasing,19,,,Efficient,Efficient,0.4496316532139454,0.039094869449293745,0.7365375875316906,0.9225552417346308,Mega
