id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1100015,RO,2017,25437,Alta Floresta D'Oeste,485374000,18243861,1878,5.1,4.3,0.3,4.8,19081.42,9714.52
1100015,RO,2019,22945,Alta Floresta D'Oeste,495775000,19035814,1878,4.7,4.6,0.6,4.9,21607.1,10136.22
1100023,RO,2017,107345,Ariquemes,2287910000,64242278,8836,5.4,4.7,0.7,1.9,21313.61,7270.52
1100023,RO,2019,107863,Ariquemes,2579278000,73389544,7999,5.1,4.4,0.7,0.9,23912.54,9174.84
1100049,RO,2017,88507,Cacoal,2082761000,43023573,4962,6.1,4.5,0.1,0.6,23532.16,8670.61
1100049,RO,2019,85359,Cacoal,2261930000,52561942,4560,5.6,4.3,0.0,0.7,26499.02,11526.74
1100098,RO,2017,33030,Espigão D'Oeste,566361000,18557287,2213,5.9,4.5,0.1,2.2,17146.87,8385.58
1100098,RO,2019,32374,Espigão D'Oeste,624787000,20515267,2224,5.9,4.5,0.1,0.4,19299.04,9224.49
1100148,RO,2017,21747,Nova Brasilândia D'Oeste,345425000,12543953,1662,5.8,5.6,0.1,0.8,15883.8,7547.5
1100148,RO,2019,20474,Nova Brasilândia D'Oeste,359625000,15284821,1690,6.8,5.7,0.0,0.0,17564.96,9044.27
1100304,RO,2017,95630,Vilhena,2523712000,56314352,7612,5.7,5.5,0.0,0.4,26390.38,7398.1
1100304,RO,2019,99854,Vilhena,2832738000,73555009,7929,5.6,4.6,0.1,0.3,28368.8,9276.71
1100320,RO,2017,24181,São Miguel do Guaporé,633099000,19044350,2548,5.6,4.7,0.1,0.3,26181.67,7474.23
1100320,RO,2019,23005,São Miguel do Guaporé,616830000,19509945,2377,5.1,4.5,0.1,0.3,26812.87,8207.8
1100346,RO,2017,16747,Alvorada D'Oeste,252252000,8430946,1447,5.6,4.1,0.1,1.5,15062.52,5826.5
1100346,RO,2019,14411,Alvorada D'Oeste,260403000,10237893,1296,5.1,4.1,0.2,0.2,18069.74,7899.61
1100379,RO,2017,14045,Alto Alegre dos Parecis,328001000,11416572,1806,5.7,4.3,0.8,2.9,23353.58,6321.47
1100379,RO,2019,13241,Alto Alegre dos Parecis,288721000,14714304,1679,5.2,4.1,0.5,2.4,21805.08,8763.73
1101203,RO,2017,10751,Ministro Andreazza,215810000,7237700,881,6.6,5.5,0.4,0.3,20073.48,8215.32
1101203,RO,2019,9660,Ministro Andreazza,216434000,7979458,822,5.6,5.2,0.0,2.0,22405.18,9707.37
1101450,RO,2017,5904,Parecis,99549000,4090793,519,5.1,4.2,0.0,4.0,16861.28,7882.07
1101450,RO,2019,6074,Parecis,107301000,5614090,490,4.1,4.3,0.0,2.6,17665.62,11457.33
1101559,RO,2017,4931,Teixeirópolis,83325000,4634613,624,6.0,4.8,0.0,4.4,16898.2,7427.26
1101559,RO,2019,4308,Teixeirópolis,92344000,5324834,560,5.5,4.9,0.0,0.5,21435.47,9508.63
1101708,RO,2017,13106,Urupá,200082000,10122091,1653,6.0,4.9,0.6,1.7,15266.44,6123.47
1101708,RO,2019,11467,Urupá,215416000,12540196,1367,5.7,4.2,0.0,0.4,18785.73,9173.52
1101807,RO,2017,8047,Vale do Paraíso,142330000,6310020,988,5.1,4.4,0.3,6.2,17687.34,6386.66
1101807,RO,2019,6825,Vale do Paraíso,146544000,7178876,797,4.7,5.0,0.3,3.0,21471.65,9007.37
1200203,AC,2017,82622,Cruzeiro do Sul,1287867000,45740068,6503,4.9,4.2,0.7,6.5,15587.46,7033.69
1200203,AC,2019,88376,Cruzeiro do Sul,1439760000,57313850,6773,5.2,4.3,0.6,5.9,16291.3,8462.11
1200328,AC,2017,7858,Jordão,78628000,12164453,2188,4.2,4.4,1.8,3.1,10006.11,5559.62
1200328,AC,2019,8317,Jordão,82098000,13878718,2063,4.0,4.1,1.8,3.8,9871.11,6727.44
1200351,AC,2017,17897,Marechal Thaumaturgo,195344000,25565213,4771,4.2,4.0,2.4,5.9,10914.9,5358.46
1200351,AC,2019,18867,Marechal Thaumaturgo,194430000,28021944,4406,4.5,3.9,2.2,5.3,10305.29,6359.95
1200385,AC,2017,18510,Plácido de Castro,241231000,10710076,1386,4.9,4.7,1.3,3.2,13032.47,7727.33
1200385,AC,2019,19761,Plácido de Castro,276129000,12781324,1340,4.8,4.3,2.3,7.4,13973.43,9538.3
