id_municipio,sigla_uf,ano,municipio_nome,populacao,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,flag_populacao_missing,flag_pib_missing,flag_gastos_missing,flag_matriculas_missing,flag_ideb_missing,flag_abandono_missing
1100015,RO,2017,Alta Floresta D'Oeste,25437,485374000,18243861,1878,5.1,4.3,0.3,4.8,19081.42,9714.52,0,0,0,0,0,0
1100015,RO,2019,Alta Floresta D'Oeste,22945,495775000,19035814,1878,4.7,4.6,0.6,4.9,21607.1,10136.22,0,0,0,0,0,0
1100023,RO,2017,Ariquemes,107345,2287910000,64242278,8836,5.4,4.7,0.7,1.9,21313.61,7270.52,0,0,0,0,0,0
1100023,RO,2019,Ariquemes,107863,2579278000,73389544,7999,5.1,4.4,0.7,0.9,23912.54,9174.84,0,0,0,0,0,0
1100031,RO,2017,Cabixi,6224,138110000,5325814,596,6.1,,0.0,,22189.91,8935.93,0,0,0,0,1,1
1100031,RO,2019,Cabixi,5312,139976000,6760752,444,5.1,,0.0,,26350.9,15226.92,0,0,0,0,1,1
1100049,RO,2017,Cacoal,88507,2082761000,43023573,4962,6.1,4.5,0.1,0.6,23532.16,8670.61,0,0,0,0,0,0
1100049,RO,2019,Cacoal,85359,2261930000,52561942,4560,5.6,4.3,0.0,0.7,26499.02,11526.74,0,0,0,0,0,0
1100056,RO,2017,Cerejeiras,17934,439245000,11194317,1001,6.0,,0.1,,24492.31,11183.13,0,0,0,0,1,1
1100056,RO,2019,Cerejeiras,16323,506494000,14092619,997,6.1,,0.0,,31029.47,14135.02,0,0,0,0,1,1
1100064,RO,2017,Colorado do Oeste,18467,328377000,10419925,1609,6.4,,0.0,0.8,17781.83,6476.03,0,0,0,0,1,0
1100064,RO,2019,Colorado do Oeste,15882,334922000,14896801,1372,6.3,,0.0,0.0,21088.15,10857.73,0,0,0,0,1,0
1100072,RO,2017,Corumbiara,8659,332804000,7025528,751,5.7,,0.3,10.3,38434.46,9354.9,0,0,0,0,1,0
1100072,RO,2019,Corumbiara,7391,349289000,8971299,597,6.0,,0.3,12.0,47258.69,15027.3,0,0,0,0,1,0
1100080,RO,2017,Costa Marques,17400,212879000,10965830,1797,5.0,,0.9,9.0,12234.43,6102.3,0,0,0,0,1,0
1100080,RO,2019,Costa Marques,18331,238796000,14439095,1575,4.9,,0.5,6.3,13026.89,9167.68,0,0,0,0,1,0
1100098,RO,2017,Espigão D'Oeste,33030,566361000,18557287,2213,5.9,4.5,0.1,2.2,17146.87,8385.58,0,0,0,0,0,0
1100098,RO,2019,Espigão D'Oeste,32374,624787000,20515267,2224,5.9,4.5,0.1,0.4,19299.04,9224.49,0,0,0,0,0,0
1100106,RO,2017,Guajará-Mirim,47451,775195000,20041054,3434,4.9,,0.6,,16336.75,5836.07,0,0,0,0,1,1
1100106,RO,2019,Guajará-Mirim,46174,892778000,23333854,3287,5.0,,0.8,,19335.08,7098.83,0,0,0,0,1,1
1100114,RO,2017,Jaru,55871,1354733000,27752822,3653,5.7,,0.2,1.0,24247.52,7597.27,0,0,0,0,1,0
1100114,RO,2019,Jaru,51775,1500855000,35373841,3393,5.9,,0.1,0.4,28988.03,10425.54,0,0,0,0,1,0
1100122,RO,2017,Ji-Paraná,132667,3062162000,48281686,4532,7.0,,0.1,0.4,23081.57,10653.51,0,0,0,0,1,0
1100122,RO,2019,Ji-Paraná,128969,3783206000,54517820,4749,6.3,,0.0,1.0,29334.23,11479.85,0,0,0,0,1,0
1100130,RO,2017,Machadinho D'Oeste,38609,587758000,27296926,3791,4.9,,0.5,1.5,15223.34,7200.46,0,0,0,0,1,0
1100130,RO,2019,Machadinho D'Oeste,39991,632997000,32745877,3029,5.0,,0.1,,15828.49,10810.79,0,0,0,0,1,1
1100148,RO,2017,Nova Brasilândia D'Oeste,21747,345425000,12543953,1662,5.8,5.6,0.1,0.8,15883.8,7547.5,0,0,0,0,0,0
1100148,RO,2019,Nova Brasilândia D'Oeste,20474,359625000,15284821,1690,6.8,5.7,0.0,0.0,17564.96,9044.27,0,0,0,0,0,0
1100155,RO,2017,Ouro Preto do Oeste,39759,762112000,24191144,3180,5.9,,0.2,3.3,19168.29,7607.28,0,0,0,0,1,0
1100155,RO,2019,Ouro Preto do Oeste,36035,834959000,26910686,2707,5.6,,0.1,,23170.78,9941.15,0,0,0,0,1,1
1100189,RO,2017,Pimenta Bueno,38051,1050682000,24196237,2919,6.1,5.0,0.2,4.5,27612.47,8289.22,0,0,0,0,0,0
1100189,RO,2019,Pimenta Bueno,36660,1164694000,29132464,2793,5.9,,0.2,1.2,31770.16,10430.53,0,0,0,0,1,0
1100205,RO,2017,Porto Velho,519436,16974627000,274465558,32873,5.1,3.9,1.3,5.0,32678.96,8349.27,0,0,0,0,0,0
1100205,RO,2019,Porto Velho,529544,17906443000,298397401,30837,5.3,,1.3,12.2,33814.84,9676.6,0,0,0,0,1,0
1100254,RO,2017,Presidente Médici,22124,410136000,10802885,1230,6.1,,0.1,1.6,18538.06,8782.83,0,0,0,0,1,0
1100254,RO,2019,Presidente Médici,18986,427885000,12516842,1094,5.6,,0.2,0.0,22536.87,11441.35,0,0,0,0,1,0
1100262,RO,2017,Rio Crespo,3829,105272000,4700906,418,4.7,,0.0,2.1,27493.34,11246.19,0,0,0,0,1,0
1100262,RO,2019,Rio Crespo,3764,111100000,5734620,427,4.0,,0.0,0.0,29516.47,13430.02,0,0,0,0,1,0
1100288,RO,2017,Rolim de Moura,57074,1304503000,26320480,3539,5.7,,0.1,0.0,22856.34,7437.26,0,0,0,0,1,0
1100288,RO,2019,Rolim de Moura,55058,1281314000,32989292,3809,5.6,,0.0,0.6,23272.08,8660.88,0,0,0,0,1,0
1100296,RO,2017,Santa Luzia D'Oeste,8198,153096000,6077697,674,6.8,,0.0,0.0,18674.8,9017.35,0,0,0,0,1,0
1100296,RO,2019,Santa Luzia D'Oeste,6495,142638000,7327752,561,6.3,,0.0,,21961.2,13061.95,0,0,0,0,1,1
1100304,RO,2017,Vilhena,95630,2523712000,56314352,7612,5.7,5.5,0.0,0.4,26390.38,7398.1,0,0,0,0,0,0
