id_municipio,sigla_uf,ano,ideb_iniciais,ideb_finais
2918704,BA,2017,4.9,
3107109,MG,2017,6.3,
4321352,RS,2017,4.5,
1100809,RO,2017,4.1,
1711951,TO,2017,4.3,
5106265,MT,2017,5.8,
1712157,TO,2017,,
3127602,MG,2017,,
4315404,RS,2017,5.4,
5204102,GO,2017,5.4,
2610806,PE,2017,4.5,
5105176,MT,2017,6.2,
3163003,MG,2017,6.1,
4115200,PR,2017,7.0,
3161601,MG,2017,6.5,
5204953,GO,2017,5.7,
2601607,PE,2017,4.8,
3133709,MG,2017,6.2,
2920452,BA,2017,5.3,
2606309,PE,2017,5.5,
5215231,GO,2017,5.0,
5106224,MT,2017,6.0,
1303957,AM,2017,5.1,
1200336,AC,2017,5.3,
5220157,GO,2017,6.3,
3170602,MG,2017,7.2,
3159704,MG,2017,,
3171030,MG,2017,,
1400175,RR,2017,,
1200013,AC,2017,5.4,
1718204,TO,2017,5.2,
3110301,MG,2017,6.5,
3111150,MG,2017,5.6,
1400282,RR,2017,4.1,
5105101,MT,2017,,
3534757,SP,2017,6.7,
3140555,MG,2017,,
5107065,MT,2017,5.5,
3157906,MG,2017,7.3,
5103007,MT,2017,5.4,
5204854,GO,2017,5.3,
4312476,RS,2017,,
3201159,ES,2017,6.2,
4204756,SC,2017,,
3100807,MG,2017,,4.7
3166956,MG,2017,,
3166105,MG,2017,5.2,
2907103,BA,2017,4.4,
4306759,RS,2017,5.1,
3203353,ES,2017,6.5,
4312179,RS,2017,,4.8
4313003,RS,2017,,
3305802,RJ,2017,,
5103379,MT,2017,6.0,
4311700,RS,2017,6.4,
3532306,SP,2017,6.5,
2932200,BA,2017,,
2606606,PE,2017,4.8,
3154507,MG,2017,,
5103858,MT,2017,5.7,
4306429,RS,2017,,
3166501,MG,2017,,
5221080,GO,2017,4.8,
3107000,MG,2017,6.5,
3146750,MG,2017,5.0,
5101209,MT,2017,5.5,
2515906,PB,2017,4.0,
3165404,MG,2017,5.8,
1506583,PA,2017,3.8,
5108303,MT,2017,5.7,
4314027,RS,2017,5.0,
4306957,RS,2017,6.1,
3511003,SP,2017,6.9,
4216800,SC,2017,4.4,
3130903,MG,2017,6.1,
5101258,MT,2017,5.6,
2110104,MA,2017,,2.9
4308805,RS,2017,,
4314498,RS,2017,,
4317954,RS,2017,,
5206909,GO,2017,,
2100402,MA,2017,4.5,
1706258,TO,2017,4.8,
4322541,RS,2017,,
1712504,TO,2017,5.0,
5107909,MT,2017,5.9,
2926707,BA,2017,6.2,
1707009,TO,2017,4.9,
3159506,MG,2017,6.8,
3135605,MG,2017,6.4,
2206308,PI,2017,3.5,
3117603,MG,2017,,
4306130,RS,2017,,5.8
4309555,RS,2017,,4.9
2203859,PI,2017,,4.3
2805208,SE,2017,4.0,
5107925,MT,2017,6.1,
5209150,GO,2017,5.9,
4303301,RS,2017,4.8,
5203939,GO,2017,6.7,
4304853,RS,2017,,
3128204,MG,2017,,
3129608,MG,2017,,
5108204,MT,2017,6.6,
3157005,MG,2017,5.9,
3142007,MG,2017,4.7,
3202504,ES,2017,6.1,
2512200,PB,2017,6.0,
3113503,MG,2017,5.9,
4305371,RS,2017,,
3133402,MG,2017,6.8,
5206404,GO,2017,5.8,
1302108,AM,2017,4.6,
4314209,RS,2017,4.0,
3162005,MG,2017,7.1,
3146206,MG,2017,4.2,
2910206,BA,2017,5.7,
3100302,MG,2017,,
4318440,RS,2017,,
5209606,GO,2017,,
4312757,RS,2017,,5.1
5219605,GO,2017,5.9,
5216908,GO,2017,5.5,
5222005,GO,2017,6.5,
4303608,RS,2017,3.6,
1200393,AC,2017,3.7,
5103502,MT,2017,5.6,
2511905,PB,2017,4.1,
3143005,MG,2017,6.5,
3166709,MG,2017,5.7,
2929107,BA,2017,4.9,
3518107,SP,2017,,
2106102,MA,2017,,
3105707,MG,2017,,
4316477,RS,2017,,
1200138,AC,2017,4.6,
2918209,BA,2017,4.9,
3103405,MG,2017,5.7,
1702307,TO,2017,5.3,
2901700,BA,2017,4.1,
2403509,RN,2017,2.8,
1100114,RO,2017,5.7,
1101302,RO,2017,5.4,
4315701,RS,2017,4.3,
1101500,RO,2017,5.4,
3135803,MG,2017,5.1,
5101852,MT,2017,5.4,
2608750,PE,2017,6.3,
1713304,TO,2017,5.3,
2207751,PI,2017,4.0,
2206902,PI,2017,4.2,
1301407,AM,2017,3.7,
4217956,SC,2017,6.7,
5004700,MS,2017,5.5,
3526209,SP,2017,7.0,
4321329,RS,2017,7.2,
5100201,MT,2017,6.2,
2207934,PI,2017,3.7,
3141207,MG,2017,6.2,
2413003,RN,2017,4.6,
1715705,TO,2017,,
4323705,RS,2017,,
4320552,RS,2017,,
5207600,GO,2017,,
4312443,RS,2017,,
3166600,MG,2017,,5.6
2707602,AL,2017,4.7,
4311502,RS,2017,4.9,
4218608,SC,2017,6.6,
3202108,ES,2017,6.0,
2615102,PE,2017,5.4,
2206720,PI,2017,4.6,
3162252,MG,2017,6.6,
1718501,TO,2017,3.7,
1713601,TO,2017,4.2,
1715101,TO,2017,4.6,
1713205,TO,2017,4.2,
3202553,ES,2017,5.1,
1300680,AM,2017,,
4202206,SC,2017,,
3555901,SP,2017,,
1703008,TO,2017,3.9,
5100508,MT,2017,5.1,
1714880,TO,2017,4.0,
