id_municipio,sigla_uf,ano,populacao
1100015,RO,2017,25437
1100015,RO,2019,22945
1100015,RO,2022,21558
1100023,RO,2017,107345
1100023,RO,2019,107863
1100023,RO,2022,100896
1100031,RO,2017,6224
1100031,RO,2019,5312
1100031,RO,2022,5107
1100049,RO,2017,88507
1100049,RO,2019,85359
1100049,RO,2022,92202
1100056,RO,2017,17934
1100056,RO,2019,16323
1100056,RO,2022,15237
1100064,RO,2017,18467
1100064,RO,2019,15882
1100064,RO,2022,15747
1100072,RO,2017,8659
1100072,RO,2019,7391
1100072,RO,2022,7503
1100080,RO,2017,17400
1100080,RO,2019,18331
1100080,RO,2022,12633
1100098,RO,2017,33030
1100098,RO,2019,32374
1100098,RO,2022,29722
1100106,RO,2017,47451
1100106,RO,2019,46174
1100106,RO,2022,39396
1100114,RO,2017,55871
1100114,RO,2019,51775
1100114,RO,2022,52090
1100122,RO,2017,132667
1100122,RO,2019,128969
1100122,RO,2022,136825
1100130,RO,2017,38609
1100130,RO,2019,39991
1100130,RO,2022,30626
1100148,RO,2017,21747
1100148,RO,2019,20474
1100148,RO,2022,17355
1100155,RO,2017,39759
1100155,RO,2019,36035
1100155,RO,2022,36753
1100189,RO,2017,38051
1100189,RO,2019,36660
1100189,RO,2022,37464
1100205,RO,2017,519436
1100205,RO,2019,529544
1100205,RO,2022,461748
1100254,RO,2017,22124
1100254,RO,2019,18986
1100254,RO,2022,19316
1100262,RO,2017,3829
1100262,RO,2019,3764
1100262,RO,2022,3476
1100288,RO,2017,57074
1100288,RO,2019,55058
1100288,RO,2022,57180
1100296,RO,2017,8198
1100296,RO,2019,6495
1100296,RO,2022,7394
1100304,RO,2017,95630
1100304,RO,2019,99854
1100304,RO,2022,95599
1100320,RO,2017,24181
1100320,RO,2019,23005
1100320,RO,2022,21612
1100338,RO,2017,28891
1100338,RO,2019,30583
1100338,RO,2022,25452
1100346,RO,2017,16747
1100346,RO,2019,14411
1100346,RO,2022,13092
1100379,RO,2017,14045
1100379,RO,2019,13241
1100379,RO,2022,13023
1100403,RO,2017,20916
1100403,RO,2019,21428
1100403,RO,2022,17140
1100452,RO,2017,39044
1100452,RO,2019,39654
1100452,RO,2022,28178
1100502,RO,2017,10051
1100502,RO,2019,8538
1100502,RO,2022,7653
1100601,RO,2017,6460
1100601,RO,2019,6230
1100601,RO,2022,4157
1100700,RO,2017,14484
1100700,RO,2019,14139
1100700,RO,2022,8840
1100809,RO,2017,25266
1100809,RO,2019,26693
1100809,RO,2022,22564
1100908,RO,2017,3550
1100908,RO,2019,3052
1100908,RO,2022,3269
1100924,RO,2017,10593
1100924,RO,2019,11182
1100924,RO,2022,9351
1100940,RO,2017,22443
1100940,RO,2019,25215
1100940,RO,2022,14338
1101005,RO,2017,9745
1101005,RO,2019,7767
1101005,RO,2022,8012
1101104,RO,2017,10310
1101104,RO,2019,10458
1101104,RO,2022,9465
1101203,RO,2017,10751
1101203,RO,2019,9660
1101203,RO,2022,6440
1101302,RO,2017,12258
1101302,RO,2019,10947
1101302,RO,2022,9200
1101401,RO,2017,16186
1101401,RO,2019,15852
1101401,RO,2022,11966
1101435,RO,2017,7769
1101435,RO,2019,6970
1101435,RO,2022,6194
1101450,RO,2017,5904
1101450,RO,2019,6074
1101450,RO,2022,3953
1101468,RO,2017,2410
1101468,RO,2019,2169
1101468,RO,2022,2180
1101476,RO,2017,3411
1101476,RO,2019,2856
1101476,RO,2022,3071
1101484,RO,2017,5994
1101484,RO,2019,5172
1101484,RO,2022,5259
1101492,RO,2017,19694
1101492,RO,2019,20266
1101492,RO,2022,16302
1101500,RO,2017,12653
1101500,RO,2019,11856
1101500,RO,2022,11183
1101559,RO,2017,4931
1101559,RO,2019,4308
1101559,RO,2022,4284
1101609,RO,2017,11350
1101609,RO,2019,10444
1101609,RO,2022,9253
1101708,RO,2017,13106
1101708,RO,2019,11467
1101708,RO,2022,10828
1101757,RO,2017,11149
1101757,RO,2019,11204
1101757,RO,2022,7806
1101807,RO,2017,8047
1101807,RO,2019,6825
1101807,RO,2022,6487
1200013,AC,2017,14366
1200013,AC,2019,15256
1200013,AC,2022,12707
1200054,AC,2017,6986
1200054,AC,2019,7417
1200054,AC,2022,8157
1200104,AC,2017,24765
1200104,AC,2019,26278
1200104,AC,2022,25786
1200138,AC,2017,9664
1200138,AC,2019,10266
1200138,AC,2022,11962
1200179,AC,2017,11136
1200179,AC,2019,11733
1200179,AC,2022,9737
1200203,AC,2017,82622
1200203,AC,2019,88376
1200203,AC,2022,94345
1200252,AC,2017,17340
1200252,AC,2019,18411
1200252,AC,2022,18697
1200302,AC,2017,32360
1200302,AC,2019,34780
1200302,AC,2022,35035
1200328,AC,2017,7858
1200328,AC,2019,8317
1200328,AC,2022,11105
1200336,AC,2017,17910
1200336,AC,2019,18977
1200336,AC,2022,19172
1200344,AC,2017,8886
1200344,AC,2019,9459
1200344,AC,2022,12246
1200351,AC,2017,17897
1200351,AC,2019,18867
